KAB_KOTA;Cluster
PANDEGLANG;1
KOTA JAKARTA PUSAT;1
KARAWANG;1
SUMEDANG;1
BANDUNG;1
SRAGEN;1
BLORA;1
JEPARA;1
BREBES;1
CILACAP;1
SITUBONDO;1
BONDOWOSO;1
LUMAJANG;1
BLITAR;1
BOJONEGORO;1
KOTA MADIUN;1
KOTA SUKABUMI;2
TASIKMALAYA;2
KOTA SERANG;2
KEPULAUAN SERIBU;2
INDRAMAYU;2
MAJALENGKA;2
SUKABUMI;2
KOTA TASIKMALAYA;2
WONOGIRI;2
KOTA SURAKARTA;2
PEMALANG;2
BANJARNEGARA;2
KULON PROGO;2
JEMBER;2
KOTA PROBOLINGGO;2
KOTA SURABAYA;2
TUBAN;2
KOTA KEDIRI;2
CIREBON;3
KOTA BANJAR;3
KOTA TANGGERANG SELATAN;3
KOTA BOGOR;3
KOTA CIREBON;3
CIANJUR;3
PANGANDARAN;3
PATI;3
KOTA SEMARANG;3
KENDAL;3
KOTA MAGELANG;3
KOTA YOGYAKARTA;3
SUMENEP;3
KOTA PASURUAN;3
KOTA MOJOKERTO;3
NGANJUK;3
KOTA BLITAR;3
PONOROGO;3
SERANG;4
KOTA CILEGON;4
LEBAK;4
TANGGERANG;4
KOTA JAKARTA BARAT;4
KOTA JAKARTA SELATAN;4
KOTA JAKARTA TIMUR;4
KOTA JAKARTA UTARA;4
BEKASI;4
BOGOR;4
KOTA DEPOK;4
PURWAKARTA;4
SUBANG;4
BANDUNG BARAT;4
KOTA CIMAHI;4
CIAMIS;4
REMBANG;4
DEMAK;4
GROBOGAN;4
SEMARANG;4
BOYOLALI;4
KLATEN;4
SUKOHARJO;4
KOTA SALATIGA;4
PEKALONGAN;4
TEGAL;4
KOTA PEKALONGAN;4
KOTA TEGAL;4
MAGELANG;4
PURWOREJO;4
TEMANGGUNG;4
BANYUMAS;4
KEBUMEN;4
PURBALINGGA;4
BANTUL;4
GUNUNG KIDUL;4
PAMEKASAN;4
PASURUAN;4
JOMBANG;4
MOJOKERTO;4
SIDOARJO;4
BANGKALAN;4
GRESIK;4
LAMONGAN;4
MALANG;4
KOTA BATU;4
MADIUN;4
TRENGGALEK;4
KEDIRI;4
MAGETAN;4
NGAWI;4
KOTA TANGGERANG;4
KOTA BEKASI;4
KUNINGAN;4
GARUT;4
KOTA BANDUNG;4
KARANGANYAR;4
KUDUS;4
BATANG;4
WONOSOBO;4
SLEMAN;4
PROBOLINGGO;4
BANYUWANGI;4
SAMPANG;4
KOTA MALANG;4
TULUNGAGUNG;4
PACITAN;4
